952,立方公尺 m3 ,1比1水泥砂漿,647b0085d1d7d09bb2b6f4f0,行政院環保署2015,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
21.4,平方公尺 m2 ,1比1水泥砂漿粉刷,647b0085d1d7d09bb2b6f4f0,行政院環保署2015,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
625,立方公尺 m3 ,1比2水泥砂漿,647b0085d1d7d09bb2b6f4f0,行政院環保署2015,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
14.1,平方公尺 m2 ,1比2水泥砂漿粉刷,647b0085d1d7d09bb2b6f4f0,行政院環保署2015,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
437,立方公尺 m3 ,1比3水泥砂漿,647b0085d1d7d09bb2b6f4f0,行政院環保署2015,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
9.83,平方公尺 m2 ,1比3水泥砂漿粉刷,647b0085d1d7d09bb2b6f4f0,行政院環保署2015,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
81,台,11.6吋Chromebook 筆記型電腦,647b0085d1d7d09bb2b6f4f0,行政院環境保護署、宏碁股份有限公司、廣達電腦股份有限公司2016,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
78,台,1馬力磁力驅動無軸封泵浦 不含馬達 ,647b0085d1d7d09bb2b6f4f0,協磁股份有限公司2016,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
4.28,公斤 kg ,2.6mm裸銅線 SCR銅 ,647b0085d1d7d09bb2b6f4f0,行政院環境保護署2018,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
4.16,公斤 kg ,3.03mm裸銅線 SCR銅 ,647b0085d1d7d09bb2b6f4f0,行政院環境保護署2018,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
1.66,延噸公里 tkm ,3.49噸多溫貨車服務 包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
2.71,延噸公里 tkm ,3.49噸低溫貨車服務 裝載率32%;包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
1.55,延噸公里 tkm ,3.49噸低溫貨車服務 裝載率77%;包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
2.18,延噸公里 tkm ,3.49噸常溫貨車服務 裝載率31%;包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
0.833,延噸公里 tkm ,3.49噸常溫貨車服務 裝載率84%;包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
1.15,延噸公里 tkm ,3.5~7.4噸低溫貨車服務 裝載率41%;包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
0.959,延噸公里 tkm ,3.5~7.4噸低溫貨車服務 裝載率69%;包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
0.316,延噸公里 tkm ,3.5~7.4噸常溫貨車服務 裝載率82%;包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
94.7,台,3馬力磁力驅動無軸封泵浦 不含馬達 ,647b0085d1d7d09bb2b6f4f0,協磁股份有限公司2016,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
4,瓶,58度特級高粱酒;600ml,647b0085d1d7d09bb2b6f4f0,台南市環境保護局、成大酒廠股份有限公司2016,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
0.961,延噸公里 tkm ,7.5~16噸低溫貨車服務 裝載率65%;包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
0.276,延噸公里 tkm ,7.5~16噸常溫貨車服務 裝載率80%;包含營業據點排放;2016 ,647b0085d1d7d09bb2b6f4f0,交通部運輸研究所2017,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
4.13,公斤 kg ,8mm裸銅線 SCR銅 ,647b0085d1d7d09bb2b6f4f0,行政院環境保護署2018,6487b4a9597d13b8a4a661a3,2023/7/17,本系統未曾,國內資料
