64ed420df1c51f5136c54421,baseline,process13,菜園整備,2,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,baseline,process03,播種或定植,3,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,baseline,process05,栽培管理,4,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,baseline,process06,採收或收割,5,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,baseline,process07,收獲物運輸,6,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,baseline,process15,收穫物採後處理,7,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,baseline,process10,常溫或冷藏貯存,8,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,baseline,process11,包裝標章標示,9,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,baseline,process12,商品運輸,10,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,revise,process13,菜園整備;投放生物炭,2,64ec4bf4296c6fbdc4727e99,仿真案例
64ed420df1c51f5136c54421,revise,process05,栽培管理;改用鳳梨有機質液肥,4,64ec4bf4296c6fbdc4727e99,仿真案例
